,Store#,County_x,City,CountyNum,Total_Sales_2015_Q1,Sales_Mean_2015_Q1,Total_Liters_2015_Q1,Avg_Liters_2015_Q1,Zip_Code_x,Avg_PPL_2015_Q1,Avg_Margin_2015_Q1,County_y,Total_Sales_2015,Sales_Mean_2015,Total_Liters_2015,Avg_Liters_2015,Zip_Code_y,Avg_PPL_2015,Avg_Margin_2015,County#
646,4396,Grundy,REINBECK,38.0,10791.9,128.475,976.5,11.625,50669,11.7123356009,4.29761904762,Grundy,37236.06,122.085442623,3320.1,10.8855737705,50669,11.8704668228,4.28557377049,38.0
647,4397,Polk,ANKENY,77.0,7307.46,70.2640384615,430.0,4.13461538462,50021,18.995206044,3.18298076923,Polk,31679.69,63.1069521912,2006.68,3.99737051793,50021,18.29910738,3.05774900398,77.0
648,4398,Wright,BELMOND,99.0,12983.27,111.924741379,1086.9,9.36982758621,50421,15.55591133,3.85879310345,Wright,54820.22,118.915878525,4597.41,9.97268980477,50421,15.9577884516,4.08681127983,99.0
649,4401,Linn,MARION,57.0,6128.15,90.1198529412,470.24,6.91529411765,52302,15.4514565826,3.5825,Linn,32748.96,77.9737142857,2393.04,5.69771428571,52302,16.5505895692,3.4865,57.0
650,4402,Washington,RIVERSIDE,92.0,25139.33,98.9737401575,2061.73,8.11704724409,52327,15.6406786652,3.83511811024,Washington,105894.86,99.9008113208,8488.13,8.00766981132,52327,16.65874708,4.074,92.0
651,4404,Polk,ANKENY,77.0,9632.12,86.7758558559,712.1,6.41531531532,50021,16.7664950665,3.97252252252,Polk,51121.19,89.3727097902,3564.39,6.23145104895,50021,16.660536963,3.93548951049,77.0
652,4405,Polk,ANKENY,77.0,12951.19,54.8779237288,958.92,4.06322033898,50021,17.6317534302,4.02194915254,Polk,58561.08,45.5373872473,4209.07,3.27299377916,50021,17.5769077242,3.87770606532,77.0
653,4406,Polk,ANKENY,77.0,11264.46,90.11568,809.09,6.47272,50023,16.4182285714,4.07776,Polk,55142.28,83.8028571429,4024.2,6.11580547112,50023,16.502887538,4.24556231003,77.0
654,4408,Boone,BOONE,8.0,9074.63,117.852337662,618.83,8.03675324675,50036,18.5972850959,3.70090909091,Boone,30471.55,99.9067213115,2310.12,7.57416393443,50036,16.8258563622,3.5453442623,8.0
655,4409,Boone,BOONE,8.0,5925.24,103.951578947,449.0,7.87719298246,50036,18.5933333333,3.7450877193,Boone,22190.7,104.673113208,1725.27,8.13806603774,50036,16.3773158131,3.68311320755,8.0
656,4410,Boone,PERRY,8.0,11239.3,72.0467948718,947.29,6.07237179487,50220,15.1428327228,3.54346153846,Boone,47809.87,62.5783638743,3911.38,5.11960732984,50220,15.4487241336,3.38284031414,8.0
657,4411,Dallas,DE SOTO,25.0,14269.42,64.861,1125.57,5.11622727273,50069,16.7980627706,3.96804545455,Dallas,58164.13,67.1641224018,4650.87,5.37051963048,50069,16.6546970197,4.13863741339,25.0
658,4412,Cedar,TIPTON,16.0,4051.65,71.0815789474,301.26,5.28526315789,52772,17.6363659148,3.56298245614,Cedar,25779.41,53.484253112,1827.19,3.79085062241,52772,18.5299664098,3.69904564315,16.0
659,4413,Louisa,WAPELLO,58.0,5921.42,107.662181818,502.57,9.13763636364,52653,15.5695238095,3.41454545455,Louisa,31028.04,115.345873606,2272.82,8.44914498141,52653,15.8035015047,3.8456133829,58.0
660,4414,Pottawattamie,NEOLA,78.0,11090.64,84.02,817.27,6.19143939394,51559,16.95997114,3.78810606061,Pottawattamie,44272.23,80.3488747731,3342.54,6.06631578947,51559,16.4315547489,3.68912885662,78.0
