,Store#,County,City,County#,Total_Sales_2016_Q1,Sales_Mean_2016_Q1,Total_Liters_2016_Q1,Avg_PPL_2016_Q1,Zip_Code,Avg_Liters_2016_Q1,Avg_Margin_2016_Q1,Predicted 2016 TotalSales
612,4398,Wright,BELMOND,99.0,9234.78,104.940681818,790.46,8.9825,50421,16.2100324675,4.12090909091,40510.2391858
613,4401,Linn,MARION,57.0,7729.65,69.6364864865,522.85,4.71036036036,52302,17.6505791506,3.69432432432,27549.9908
614,4402,Washington,RIVERSIDE,92.0,23600.2,107.273636364,1963.58,8.92536363636,52327,17.0077121212,4.12218181818,101133.458471
615,4404,Polk,ANKENY,77.0,13299.69,86.3616233766,877.65,5.69902597403,50021,17.1430797774,3.92402597403,53990.0731487
616,4405,Polk,ANKENY,77.0,16078.87,42.3128157895,1145.87,3.01544736842,50021,17.0831616541,3.93618421053,64564.3196532
617,4406,Polk,ANKENY,77.0,16362.82,70.226695279,1160.37,4.98012875536,50023,17.0781831187,4.32339055794,70842.7349771
618,4408,Boone,BOONE,8.0,8513.58,96.7452272727,639.32,7.265,50036,16.8720670996,3.88909090909,34165.2283581
619,4409,Boone,BOONE,8.0,4750.11,103.26326087,355.87,7.73630434783,50036,16.325320911,3.6447826087,15894.678637
620,4410,Boone,PERRY,8.0,11809.13,57.8878921569,936.98,4.59303921569,50220,14.9967647059,3.50656862745,42706.9583692
621,4411,Dallas,DE SOTO,25.0,12486.85,68.988121547,1027.6,5.6773480663,50069,15.8482951855,4.4829281768,56521.2894072
622,4412,Cedar,TIPTON,16.0,4932.78,56.6986206897,340.63,3.91528735632,52772,18.5548932677,3.85965517241,17129.8600554
623,4413,Louisa,WAPELLO,58.0,7922.1,95.4469879518,579.0,6.97590361446,52653,15.4619736087,4.11771084337,33973.0719787
624,4414,Pottawattamie,NEOLA,78.0,8817.1,73.4758333333,697.9,5.81583333333,51559,16.1058968254,3.84816666667,34314.2260185
625,4415,Hardin,ACKLEY,42.0,7201.21,65.4655454545,598.18,5.438,50601,15.9384502165,4.03209090909,29277.811633
626,4416,Guthrie,CASEY,39.0,8106.73,130.753709677,558.0,9.0,50048,16.4498463902,4.2,36602.2811205
627,4417,Adair,ADAIR,1.0,7933.49,127.959516129,534.51,8.62112903226,50002,16.0801996928,4.63806451613,40370.6919013
628,4418,Pottawattamie,WALNUT,78.0,9608.6,102.219148936,636.9,6.77553191489,51577,18.2539817629,4.10893617021,40902.0132369
629,4419,Decatur,LAMONI,27.0,8030.66,68.6381196581,595.81,5.09239316239,50140,16.8767358567,3.37504273504,25591.7776628
630,4420,Wapello,OTTUMWA,90.0,9316.08,45.4442926829,642.48,3.13404878049,52501,18.8747293844,3.98580487805,36605.4435966
631,4421,Franklin,HAMPTON,35.0,9158.61,110.344698795,608.58,7.33228915663,50441,19.6564371773,4.42096385542,42603.9850505
632,4424,Des Moines,BURLINGTON,29.0,7712.24,111.771594203,473.1,6.85652173913,52601,17.5810213941,3.7584057971,29190.334018
633,4426,Marshall,MARSHALLTOWN,64.0,67511.91,86.9998840206,4547.8,5.86056701031,50158,18.3623708272,4.56030927835,289699.047277
634,4427,Johnson,NORTH LIBERTY,52.0,11986.39,53.7506278027,842.74,3.77910313901,52317,17.1453021567,4.50103139013,53692.1227822
635,4428,Story,AMES,85.0,18158.31,105.571569767,1297.6,7.54418604651,50014,16.7311904762,4.66377906977,83288.4944441
636,4429,Jasper,COLFAX,50.0,10334.67,114.829666667,739.8,8.22,50054,15.2024444444,4.47211111111,48540.3963657
637,4430,Webster,FORT DODGE,94.0,7002.46,109.4134375,544.0,8.5,50501,16.3009449405,3.64046875,25722.0124473
638,4431,Webster,FORT DODGE,94.0,6098.03,106.982982456,532.3,9.33859649123,50501,13.0433751044,3.93298245614,25432.3761537
639,4433,Polk,PLEASANT HILL,77.0,11168.12,42.7897318008,731.46,2.80252873563,50317,17.586325488,4.32632183908,47902.9160039
640,4434,Lyon,ROCK RAPIDS,60.0,19156.51,73.9633590734,1716.22,6.62633204633,51246,13.3410645339,4.55069498069,85853.388421
641,4435,Pottawattamie,COUNCIL BLUFFS,78.0,4871.05,90.2046296296,368.04,6.81555555556,51501,15.8692416226,3.7987037037,17608.55347
642,4436,Story,AMES,85.0,16067.31,104.333181818,1245.99,8.09084415584,50010,17.2186456401,4.17409090909,69491.4158956
643,4437,Story,AMES,85.0,15285.78,68.8548648649,1110.15,5.00067567568,50010,16.5621364221,3.92378378378,62036.0084205
644,4438,Story,AMES,85.0,8561.8,49.7779069767,617.23,3.58854651163,50010,17.978059247,3.82401162791,31910.5342486
645,4439,Linn,CENTER POINT,57.0,15697.67,48.3005230769,1477.0,4.54461538462,52213,13.6286695971,4.26855384615,67240.2861252
646,4440,Pottawattamie,COUNCIL BLUFFS,78.0,6179.04,128.73,413.1,8.60625,51503,15.8890079365,4.44958333333,30943.7726754
