,Store#,City,Total_Sales_2015_Q1,Sales_Mean_2015_Q1,County#,Avg_PPL_2015_Q1,Zip_Code_x,Total_Liters_2015_Q1,Avg_Liters_2015_Q1,Avg_Margin_2015_Q1,Total_Sales_2015,Sales_Mean_2015,Avg_PPL_2015,Zip_Code_y,Total_Liters_2015,Avg_Liters_2015,Avg_Margin_2015
217,3529,CHEROKEE,45752.42,40.3816593116,18.0,16.705866864,51012,3401.65,3.00233892321,5.15958517211,53513.92,42.3034940711,16.8183403085,51012,3942.69,3.11675098814,5.21637944664
218,3540,DAVENPORT,33079.6,137.259751037,82.0,17.9408051768,52807,1993.95,8.27365145228,5.67962655602,187753.05,141.91462585,18.7836830076,52807,10794.65,8.15922146636,5.8170143613
219,3542,ST ANSGAR,37634.17,109.401656977,66.0,16.1335548173,50472,2886.88,8.39209302326,6.40965116279,126065.17,100.37035828,16.4882973157,50472,9881.51,7.86744426752,6.6012022293
220,3549,FORT MADISON,93273.51,201.02049569,56.0,21.9310347393,52627,6295.52,13.5679310345,5.90243534483,412492.6,239.82127907,21.8565845263,52627,26810.24,15.5873488372,6.02313953488
221,3562,WEST BURLINGTON,163119.8,165.435902637,29.0,14.8910001932,52655,12496.5,12.6739350913,5.29514198783,641200.27,162.534922687,14.7337976945,52655,48507.25,12.2958808619,5.26114575412
222,3563,MUSCATINE,92311.14,162.233989455,70.0,13.7292426144,52761,7279.5,12.7934973638,5.13251318102,405514.27,164.042989482,14.2333757127,52761,31209.65,12.625262945,5.16246763754
223,3565,IOWA CITY,47106.12,74.0662264151,52.0,19.3138484576,52246,3615.9,5.68537735849,4.74847484277,200087.67,73.5616433824,19.3926763393,52246,14454.02,5.31397794118,4.839625
224,3573,OTTUMWA,147839.06,134.643952641,90.0,18.1317672825,52501,9504.67,8.65634790528,5.07154826958,637649.93,129.577307458,18.0997448012,52501,40605.42,8.25145702093,5.11161349319
225,3576,HARTLEY,17287.33,66.7464478764,71.0,14.0229509101,51346,1500.48,5.79335907336,4.21648648649,71428.33,71.42833,13.7917695238,51346,6387.26,6.38726,4.33309
226,3582,LEON,6557.68,123.729811321,27.0,15.9335759209,50144,456.0,8.60377358491,6.30886792453,28384.99,115.857102041,16.4685519922,50144,1855.47,7.57334693878,6.76318367347
